workload,family,qubits,depth,entanglement,oracle_algorithmic,rule_algorithmic,oracle_hardware,rule_hardware,nexar_label
classical_31_sorting_comparison_suite,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
classical_32_finite_element_truss,classical,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
hybrid_01_qsvm_kernel_estimation,qml,4,40,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=4, d=40) is trivially simulable and free of NISQ overhead",Classical
hybrid_02_quantum_boltzmann_sampling,simulation,8,88,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=8, d=88) is trivially simulable and free of NISQ overhead",Classical
hybrid_03_variational_quantum_eigensolver_excited,classical,10,152,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=10, d=152) is trivially simulable and free of NISQ overhead",Classical
hybrid_04_quantum_gan_generator,qml,6,111,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=6, d=111) is trivially simulable and free of NISQ overhead",Classical
hybrid_05_drug_molecule_screening,simulation,0,0,0.0,Classical,A-R1: Pure classical code (qubits = 0),Classical,B-R1: Pure classical code (qubits = 0),Classical
hybrid_06_quantum_neural_network_classifier,qml,8,133,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=8, d=133) is trivially simulable and free of NISQ overhead",Classical
hybrid_07_quantum_kernel_pca,qml,6,88,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=6, d=88) is trivially simulable and free of NISQ overhead",Classical
hybrid_08_quantum_transfer_learning,qml,4,25,0.625,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=4, d=25) is trivially simulable and free of NISQ overhead",Classical
hybrid_09_qgan_image_generation,qml,10,217,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 217 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
hybrid_10_quantum_reinforcement_learning,qml,6,86,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=6, d=86) is trivially simulable and free of NISQ overhead",Classical
hybrid_11_vqe_caffeine_active_space,simulation,16,332,0.692,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 332 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
hybrid_12_drug_binding_quantum_scoring,qml,12,233,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 233 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
hybrid_13_quantum_molecular_dynamics,simulation,8,127,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=8, d=127) is trivially simulable and free of NISQ overhead",Classical
hybrid_14_qaoa_supply_chain,optimization,14,298,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 298 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
hybrid_15_vqe_scheduling_job_shop,simulation,10,12,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=10, d=12) is trivially simulable and free of NISQ overhead",Quantum
hybrid_16_qaoa_graph_partitioning,optimization,20,108,0.508,Quantum,A-R6: Large-scale entangled optimization (Farhi 2014),Quantum,"B-R6: Medium-scale entangled circuit (q=20, d=108, ent=0.51) in NISQ-advantage regime",Quantum
hybrid_17_variational_hamiltonian_simulation,simulation,14,68,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=14, d=68) is trivially simulable and free of NISQ overhead",Classical
hybrid_18_quantum_chemistry_active_space_selection,qml,10,32,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=10, d=32) is trivially simulable and free of NISQ overhead",Quantum
hybrid_19_quantum_approximate_counting,primitive,16,72,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=16, d=72) is trivially simulable and free of NISQ overhead",Classical
hybrid_20_quantum_random_number_generation,primitive_state,8,4,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=8, d=4) is trivially simulable and free of NISQ overhead",Classical
hybrid_21_portfolio_rebalancing_vqe,simulation,10,90,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=10, d=90) is trivially simulable and free of NISQ overhead",Classical
hybrid_22_classical_heavy_hybrid,classical,3,5,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=3, d=5) is trivially simulable and free of NISQ overhead",Classical
hybrid_23_quantum_error_mitigation_zne,error_correction,24,20,0.438,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Quantum,"B-R6: Medium-scale entangled circuit (q=24, d=20, ent=0.44) in NISQ-advantage regime",Quantum
quantum_01_h2_molecule_vqe,simulation,4,38,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=4, d=38) is trivially simulable and free of NISQ overhead",Classical
quantum_02_lih_molecule_uccsd,simulation,12,22,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=12, d=22) is trivially simulable and free of NISQ overhead",Quantum
quantum_03_ising_model_simulation,simulation,16,248,0.741,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 248 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_04_heisenberg_spin_chain,simulation,10,193,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=10, d=193) is trivially simulable and free of NISQ overhead",Classical
quantum_05_shor_factoring_15,factorization,8,14,1.0,Quantum,A-R4: Factorization -- exponential speedup (Shor 1997),Classical,"B-R4: Small-scale circuit (q=8, d=14) is trivially simulable and free of NISQ overhead",Classical
quantum_06_qaoa_portfolio_optimization,optimization,8,38,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=8, d=38) is trivially simulable and free of NISQ overhead",Classical
quantum_07_qml_variational_classifier,qml,6,99,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=6, d=99) is trivially simulable and free of NISQ overhead",Classical
quantum_08_quantum_walk_graph,primitive,4,61,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=4, d=61) is trivially simulable and free of NISQ overhead",Classical
quantum_09_vqe_water_molecule,simulation,14,112,0.065,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=14, d=112) is trivially simulable and free of NISQ overhead",Classical
quantum_10_quantum_error_correction,error_correction,17,13,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=17, d=13) is trivially simulable and free of NISQ overhead",Quantum
quantum_11_ghz_state_teleportation,primitive_state,3,6,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=3, d=6) is trivially simulable and free of NISQ overhead",Classical
quantum_12_deutsch_jozsa_8q,oracle_problem,9,7,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=9, d=7) is trivially simulable and free of NISQ overhead",Classical
quantum_13_quantum_phase_estimation,primitive,6,17,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=6, d=17) is trivially simulable and free of NISQ overhead",Quantum
quantum_14_hhl_algorithm,primitive,3,4,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=3, d=4) is trivially simulable and free of NISQ overhead",Classical
quantum_14_vqe_120q_molecular_simulation,simulation,120,1199,0.426,Quantum,A-R3: Classical state-vector simulation infeasible (> 16 PB; Preskill 2018),Quantum,B-R3: Classical simulation infeasible at 120 qubits; quantum is only physically viable path,Quantum
quantum_15_nitrogen_fixation_vqe,simulation,20,225,0.615,Quantum,A-R5: Large-scale entangled simulation (Kandala 2017),Classical,B-R5: Post-transpile depth 225 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Quantum
quantum_16_lithium_battery_vqe,simulation,40,452,0.511,Quantum,A-R5: Large-scale entangled simulation (Kandala 2017),Classical,B-R5: Post-transpile depth 452 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_17_iron_sulfur_protein_vqe,simulation,60,592,0.507,Quantum,A-R3: Classical state-vector simulation infeasible (> 16 PB; Preskill 2018),Quantum,B-R3: Classical simulation infeasible at 60 qubits; quantum is only physically viable path,Quantum
quantum_18_superconductor_bcs_simulation,simulation,24,2385,0.482,Quantum,A-R5: Large-scale entangled simulation (Kandala 2017),Classical,B-R5: Post-transpile depth 2385 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_19_shor_factoring_21,factorization,10,37,1.0,Quantum,A-R4: Factorization -- exponential speedup (Shor 1997),Classical,"B-R4: Small-scale circuit (q=10, d=37) is trivially simulable and free of NISQ overhead",Quantum
quantum_20_shor_factoring_35,factorization,14,216,0.0,Quantum,A-R4: Factorization -- exponential speedup (Shor 1997),Classical,B-R5: Post-transpile depth 216 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_21_discrete_log_small,factorization,12,138,0.0,Quantum,A-R4: Factorization -- exponential speedup (Shor 1997),Classical,"B-R4: Small-scale circuit (q=12, d=138) is trivially simulable and free of NISQ overhead",Classical
quantum_22_grover_database_search_20q,search,20,4674,0.803,Quantum,A-R7: Grover search with sufficient N (Grover 1996),Classical,B-R5: Post-transpile depth 4674 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_23_grover_3sat_satisfiability,search,12,650,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 650 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_24_qaoa_maxcut_50q,optimization,50,108,0.038,Quantum,A-R3: Classical state-vector simulation infeasible (> 16 PB; Preskill 2018),Quantum,B-R3: Classical simulation infeasible at 50 qubits; quantum is only physically viable path,Quantum
quantum_25_qaoa_vehicle_routing,optimization,32,142,0.068,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R7: Sub-advantage profile (q=32, d=142, ent=0.07)",Quantum
quantum_26_hubbard_model_2d,simulation,1,150,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=1, d=150) is trivially simulable and free of NISQ overhead",Classical
quantum_27_schwinger_model_lattice_qed,simulation,16,1447,0.485,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 1447 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_28_transverse_field_ising_2d,simulation,1,22,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=1, d=22) is trivially simulable and free of NISQ overhead",Classical
quantum_29_hydrogen_chain_h6_vqe,simulation,12,90,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=12, d=90) is trivially simulable and free of NISQ overhead",Classical
quantum_30_bernstein_vazirani_16q,oracle_problem,16,12,0.3,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=16, d=12) is trivially simulable and free of NISQ overhead",Quantum
quantum_31_simon_hidden_period,oracle_problem,10,7,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=10, d=7) is trivially simulable and free of NISQ overhead",Quantum
quantum_32_quantum_counting_8q,primitive,8,216,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 216 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_33_surface_code_distance3,error_correction,17,13,0.5,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=17, d=13) is trivially simulable and free of NISQ overhead",Quantum
quantum_34_quantum_key_distribution_bb84,primitive_state,8,8,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=8, d=8) is trivially simulable and free of NISQ overhead",Classical
quantum_35_quantum_monte_carlo_option,primitive,14,42,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=14, d=42) is trivially simulable and free of NISQ overhead",Quantum
quantum_36_qaoa_credit_risk,optimization,20,274,0.486,Quantum,A-R6: Large-scale entangled optimization (Farhi 2014),Classical,B-R5: Post-transpile depth 274 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Quantum
quantum_37_bell_state_2q_minimal,primitive_state,2,3,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=2, d=3) is trivially simulable and free of NISQ overhead",Classical
quantum_38_random_circuit_100q,random_circuit,100,5751,0.196,Quantum,A-R3: Classical state-vector simulation infeasible (> 16 PB; Preskill 2018),Quantum,B-R3: Classical simulation infeasible at 100 qubits; quantum is only physically viable path,Classical
quantum_39_qft_20_qubit,primitive,20,32,0.3,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Quantum,"B-R6: Medium-scale entangled circuit (q=20, d=32, ent=0.30) in NISQ-advantage regime",Quantum
quantum_40_variational_quantum_thermalizer,simulation,15,237,1.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 237 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_41_vqe_4q_minimal_h2,simulation,4,7,0.0,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=4, d=7) is trivially simulable and free of NISQ overhead",Classical
quantum_42_high_depth_noise_sensitive,random_circuit,30,37501,0.3,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,B-R5: Post-transpile depth 37501 exceeds NISQ coherence wall (~200); real HW output is noise-dominated (Table VI),Classical
quantum_43_oversize_150q_rejected,oversize,150,1348,0.498,Reject,A-R2: Exceeds hardware capacity (> 127 qubits; Arute 2019),Reject,B-R2: Exceeds 127-qubit IBM Eagle capacity,Classical
quantum_44_amplitude_estimation_16q,primitive,16,16,0.167,Classical,A-R8: NISQ overhead exceeds quantum benefit (Preskill 2018; small-N regime),Classical,"B-R4: Small-scale circuit (q=16, d=16) is trivially simulable and free of NISQ overhead",Quantum
